iso3,country,year,sub_region_name,region_name,sdg_region,variable,question_number,source_name,population,count,comment_from_country,sex,Order 
TUV,Tuvalu,2019,Polynesia,Oceania,Oceania (M49) excluding Australia and New Zealand (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,10581,5.867453575,Survey sample covers women and men aged 15-49,female,2
UGA,Uganda,2022,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,SDG,47312719.5,24.8,,female,2
VNM,Viet Nam,2020,South-Eastern Asia,Asia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,98079191,1.632728934,Survey sample covers women and men aged 15-49,female,2
WSM,Samoa,2019,Polynesia,Oceania,Oceania (M49) excluding Australia and New Zealand (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,209779.5,1.064394355,Survey sample covers women and men aged 15-49,female,2
ZWE,Zimbabwe,2019,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,15271367.5,5.892824173,Survey sample covers women and men aged 15-49,female,2
ARG,Argentina,2016,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Sexual violence Males,7.1.9,CTS,43900313.5,0.4,,male,3
AUS,Australia,2024,Australia and New Zealand,Oceania,Australia and New Zealand (M49),Prevalence Rate of Sexual violence Males,7.1.9,CTS,26713205,0.3,,male,3
BEL,Belgium,2024,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Males,7.1.9,CTS,11738763.5,0.5,,male,3
BRA,Brazil,2019,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Sexual violence Males,7.1.9,SDG,207455459.5,0.4,,male,3
CHE,Switzerland,2021,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Males,7.1.9,CTS,8707023.5,0.1,,male,3
CMR,Cameroon,2018,Middle Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Sexual violence Males,7.1.9,SDG,24806383,2.7,,male,3
DEU,Germany,2020,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Males,7.1.9,CTS,83628708.5,0.3,,male,3
FIN,Finland,2023,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Males,7.1.9,CTS,5601185.5,0.5,,male,3
FRA,France,2023,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Males,7.1.9,SDG,66438822,0.2,,male,3
GBR_E_W,United Kingdom (England and Wales),2018,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Males,7.1.9,CTS,59115809,1.2,,male,3
GTM,Guatemala,2019,Central America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Sexual violence Males,7.1.9,CTS,17103802.5,0.3,,male,3
KOR,Republic of Korea,2016,Eastern Asia,Asia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Prevalence Rate of Sexual violence Males,7.1.9,CTS,51297839,0,,male,3
LUX,Luxembourg,2020,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Males,7.1.9,SDG,630597,0.871103852,,male,3
LVA,Latvia,2021,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Males,7.1.9,SDG,1885587,0.5,,male,3
MEX,Mexico,2024,Central America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Sexual violence Males,7.1.9,CTS,130861007,0.4,"Fuente: Encuesta Nacional de Victimización y Percepción de Seguridad Pública (ENVIPE), 2022, 2023, 2024 y 2025.",male,3
NZL,New Zealand,2024,Australia and New Zealand,Oceania,Australia and New Zealand (M49),Prevalence Rate of Sexual violence Males,7.1.9,CTS,5213944,1,,male,3
SVN,Slovenia,2020,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Males,7.1.9,CTS,2102419.5,0.21,,male,3
UGA,Uganda,2022,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Sexual violence Males,7.1.9,SDG,47312719.5,4.3,,male,3
ARG,Argentina,2016,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Sexual violence Females,7.1.9,CTS,43900313.5,2.7,,female,4
